horizon_td,mom_bucket,dd_bucket,count,win_rate,avg_return,median_return,avg_gain,avg_loss,expected_return,avg_max_drawdown,payoff_ratio,classification
60,0-5%,-20~-10%,177,0.9265536723163842,0.12282807838345805,0.08575915346981122,0.13347374123378042,-0.01147105295907042,0.12282807838345804,-0.048808326827902024,11.635700899474946,高胜高收
60,<=0%,-20~-10%,120,0.8583333333333333,0.11873434740729796,0.09577995757950553,0.1435191354614387,-0.03143230962661345,0.11873434740729798,-0.04724606093839279,4.565974857282597,高胜高收
60,10-15%,-10~-5%,89,0.8202247191011236,0.10856161420652834,0.10180644713264608,0.1402410002825452,-0.035975584765298524,0.10856161420652834,-0.06940124733655122,3.898227122573958,高胜高收
60,10-15%,-20~-10%,39,0.8717948717948718,0.10203143821203799,0.0820670531927441,0.11892475097632585,-0.012843088585119266,0.10203143821203803,-0.06821801766498405,9.259824861296902,高胜高收
60,15-20%,-10~-5%,26,0.9230769230769231,0.10192116778958496,0.10047623001833572,0.11099705069897044,-0.006989427123040626,0.10192116778958497,-0.06747884381923634,15.880707924268785,高胜高收
60,5-10%,-20~-10%,143,0.9090909090909091,0.09194676548465179,0.08238136578855726,0.10232097076582405,-0.011795287327070768,0.09194676548465179,-0.052843672011522555,8.674733215781218,高胜高收
60,10-15%,-5~-2%,119,0.7899159663865546,0.08412144537965577,0.06567603123296806,0.11531847611740637,-0.03317939019428643,0.08412144537965578,-0.08346408012951531,3.4756056528508616,高胜高收
60,5-10%,-10~-5%,314,0.7707006369426752,0.08403914608656217,0.07432788689478231,0.12183027657877414,-0.042981042512261376,0.08403914608656218,-0.06487324638215973,2.8345119024048597,高胜高收
60,>20%,-5~-2%,25,0.96,0.071732689881677,0.06043295553884431,0.07497680911277947,-0.006126171664782465,0.071732689881677,-0.09613569635695324,12.238770510431303,高胜高收
60,0-5%,-10~-5%,225,0.7244444444444444,0.07025741802388942,0.06162554259863451,0.11424933863376188,-0.04539876035367845,0.07025741802388943,-0.0775841058156199,2.5165739712649398,高胜高收
60,5-10%,-5~-2%,367,0.7384196185286104,0.06698693627513104,0.05211642908986103,0.10868988561479777,-0.05073701446496986,0.06698693627513104,-0.07903781726481417,2.142220758571438,高胜高收
60,15-20%,-2~0%,141,0.7021276595744681,0.05763919702771619,0.03042628127631608,0.10157363128802308,-0.04592054087157863,0.05763919702771619,-0.089657104431602,2.211943268962878,高胜高收
60,>20%,-2~0%,156,0.7692307692307693,0.05537476479033988,0.06397911877276974,0.08289173874843951,-0.03634848173665883,0.05537476479033989,-0.0935523021912909,2.2804732079040324,高胜高收
60,0-5%,-5~-2%,114,0.7894736842105263,0.05346760959032943,0.06278012029802416,0.08430935787862653,-0.06218894649078469,0.05346760959032944,-0.07392168821304783,1.3556968341812914,高胜高收
60,15-20%,-5~-2%,37,0.7027027027027027,0.04659751404063637,0.04491293078982639,0.07869013331987015,-0.029257767892098007,0.046597514040636376,-0.09999511969352803,2.689546708076898,高胜高收
60,0-5%,-2~0%,98,0.7448979591836735,0.043465639993736566,0.019806282934208608,0.06498434331634258,-0.019368973708272987,0.04346563999373657,-0.052736026394299564,3.355074166298553,高胜高收
60,10-15%,-2~0%,216,0.5,0.0371245691579203,0.00016108435324418968,0.1225792038660652,-0.048330065550224614,0.0371245691579203,-0.08830801524517089,2.53629293630237,中性
60,<=0%,-10~-5%,138,0.5797101449275363,0.0292740500282396,0.016528350735812936,0.09318455851088758,-0.05887837546506796,0.029274050028239604,-0.07043085436771329,1.5826618478319463,中性
60,<=0%,-5~-2%,78,0.6666666666666666,0.028729891682434314,0.031491879294323954,0.07057562914216739,-0.05496158323703182,0.028729891682434314,-0.06952862982483192,1.2840901769113375,偏优
60,5-10%,-2~0%,274,0.5583941605839416,0.016241025664947745,0.010207350154212369,0.06562366680246423,-0.04620148750893673,0.016241025664947752,-0.07616087845666601,1.4203799561598678,中性
60,<=0%,-2~0%,44,0.5909090909090909,0.007259431879982797,0.004493355581718483,0.026205538740264475,-0.02010716691820185,0.007259431879982797,-0.04488499548172234,1.3032934399396725,中性
